ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Income Band
24185,Single,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,45,No,Low
19291,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,Low
16713,Married,Male,40000,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Yes,Medium
16185,Single,Male,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No,High
14927,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Medium
29337,Single,Male,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No,Medium
29355,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Medium
25303,Single,Male,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Yes,Medium
14813,Single,Female,20000,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes,Low
16438,Married,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No,Low
14238,Married,Male,120000,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Yes,Very High
16200,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No,Low
24857,Married,Female,130000,3,High School,Professional,Yes,4,0-1 Miles,Europe,52,No,Very High
26956,Single,Female,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Yes,Low
14517,Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No,Low
12678,Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No,Very High
16188,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No,Low
27969,Married,Male,80000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Yes,High
15752,Married,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes,High
27745,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Yes,Medium
20828,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Yes,Medium
19461,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,No,Low
26941,Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,Medium
28412,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No,Low
24485,Single,Male,40000,2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Yes,Medium
16514,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,Low
17191,Single,Male,130000,3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Yes,Very High
19608,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,High
24119,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,Medium
25458,Married,Male,20000,1,High School,Manual,No,1,1-2 Miles,Europe,40,Yes,Low
26886,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes,Medium
28436,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes,Medium
19562,Single,Female,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Yes,High
15608,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No,Medium
16487,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,Medium
17197,Single,Female,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No,High
12507,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,Medium
23940,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Yes,Medium
19441,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Yes,Medium
26852,Married,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No,Low
12274,Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,Low
20236,Single,Male,60000,3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Yes,High
24149,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No,Low
26139,Single,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No,High
18491,Single,Female,70000,2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Yes,High
22707,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,Medium
20430,Married,Male,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,High
27494,Single,Female,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Yes,Medium
26829,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Medium
28395,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Yes,Medium
21006,Single,Female,30000,1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes,Medium
14682,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No,High
17650,Single,Female,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No,Medium
29191,Single,Female,130000,1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Yes,Very High
15030,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Yes,Low
24140,Single,Male,10000,0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Yes,Low
22496,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,No,Medium
24065,Single,Female,20000,0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,Low
19914,Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,No,High
12871,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,Medium
22988,Married,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,Medium
15922,Married,Male,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No,Very High
12344,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No,High
23627,Single,Female,100000,3,Partial College,Management,No,4,5-10 Miles,Europe,56,No,Very High
27775,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Yes,Medium
29301,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,High
12716,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No,Medium
12472,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No,Medium
20970,Single,Male,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes,Low
26818,Single,Male,10000,3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Yes,Low
12993,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No,High
14192,Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,56,Yes,High
19477,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Yes,Medium
26796,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes,Medium
21094,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No,Medium
12234,Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No,Low
28683,Single,Female,10000,1,High School,Manual,No,1,5-10 Miles,Europe,35,Yes,Low
17994,Single,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No,Low
24273,Married,Female,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,Low
26547,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Yes,Medium
22500,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,Medium
23993,Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,Low
14832,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Yes,Medium
16614,Married,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No,High
20877,Single,Male,30000,1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Yes,Medium
20729,Married,Female,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No,Medium
22464,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Medium
19475,Married,Female,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,Medium
19675,Married,Male,20000,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,No,Low
12728,Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No,Medium
26154,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Yes,High
29117,Single,Male,100000,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,No,Very High
17845,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No,Low
25058,Married,Male,100000,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No,Very High
23426,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No,High
14798,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Yes,Low
12664,Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No,Very High
23979,Single,Male,10000,2,Partial College,Manual,No,0,0-1 Miles,Europe,50,No,Low
25605,Single,Female,20000,2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Yes,Low
20797,Married,Female,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,Low
21980,Single,Female,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Yes,High
25460,Married,Female,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,Low
29181,Single,Female,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Yes,High
24279,Single,Male,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,No,Medium
22402,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Yes,Low
15465,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No,Low
26757,Single,Male,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,High
14233,Single,Male,100000,0,High School,Management,Yes,3,10+ Miles,Pacific,35,No,Very High
14058,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Yes,High
12273,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,Medium
17203,Married,Female,130000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Yes,Very High
18144,Married,Female,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No,High
23963,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,No,Low
17907,Married,Female,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No,Low
19442,Single,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Yes,Medium
17504,Single,Female,80000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,High
12253,Single,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Yes,Low
27304,Single,Female,110000,2,Partial College,Professional,No,3,5-10 Miles,Europe,48,No,Very High
14191,Married,Male,160000,4,Partial College,Professional,No,2,10+ Miles,Europe,55,Yes,Very High
12212,Married,Female,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Yes,Low
25529,Single,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No,Low
22170,Married,Female,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Yes,Medium
19445,Married,Female,10000,2,High School,Manual,No,1,0-1 Miles,Europe,38,No,Low
15265,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,Medium
28918,Married,Female,130000,4,High School,Management,No,4,10+ Miles,Europe,58,No,Very High
15799,Married,Female,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,High
11047,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Yes,Medium
18151,Single,Male,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,No,High
20606,Married,Female,70000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Yes,High
19482,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Yes,Medium
16489,Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,Medium
26944,Single,Male,90000,2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Yes,High
15682,Single,Female,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No,High
26032,Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,No,High
17843,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,Low
25559,Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Yes,Low
16209,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,No,Medium
11147,Married,Male,60000,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Yes,High
15214,Single,Female,100000,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Yes,Very High
11453,Single,Male,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Yes,High
24584,Single,Male,60000,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,No,High
12585,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Yes,Low
18626,Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Yes,Medium
29298,Single,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes,High
24842,Single,Female,90000,3,High School,Professional,No,1,2-5 Miles,Europe,51,No,High
15657,Married,Male,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Yes,Medium
11415,Single,Male,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No,High
28729,Single,Female,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Yes,Low
22633,Single,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Medium
25649,Single,Female,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Yes,Medium
14669,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No,High
19299,Married,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,Medium
20946,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,Medium
11451,Single,Male,70000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Yes,High
25553,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Yes,Medium
27951,Single,Male,80000,4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Yes,High
25026,Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,No,Low
13673,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No,Low
16043,Single,Male,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,Low
22399,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,Low
27696,Married,Male,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Yes,High
25313,Single,Male,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No,Low
13813,Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No,Medium
18711,Single,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No,High
19650,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,No,Medium
14135,Married,Male,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,No,Low
12833,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Yes,Low
26849,Married,Male,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No,Low
20962,Married,Female,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,Low
28915,Single,Male,80000,5,High School,Management,Yes,3,10+ Miles,Europe,57,No,High
22830,Married,Male,120000,4,Partial College,Management,Yes,3,10+ Miles,Europe,56,No,Very High
14777,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Medium
12591,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,Medium
24174,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Yes,Low
24611,Single,Male,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Yes,High
11340,Married,Female,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Yes,Low
25693,Single,Female,30000,5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Yes,Medium
25555,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,Low
22006,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,No,High
20060,Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,Yes,Medium
17702,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No,Low
12503,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No,Medium
23908,Single,Male,30000,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Yes,Medium
22527,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No,Low
19057,Married,Female,120000,3,Bachelors,Management,No,2,10+ Miles,Europe,52,Yes,Very High
18494,Married,Male,110000,5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Yes,Very High
11249,Married,Female,130000,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Yes,Very High
21568,Married,Female,100000,0,High School,Management,Yes,4,10+ Miles,Pacific,34,Yes,Very High
13981,Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No,Low
23432,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Yes,High
22931,Married,Male,100000,5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Yes,Very High
18172,Married,Male,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No,Very High
12666,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No,High
20598,Married,Male,100000,3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,Yes,Very High
21375,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,No,Low
20839,Single,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,Medium
21738,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No,Low
14164,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,Medium
14193,Single,Female,100000,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No,Very High
12705,Married,Male,150000,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Yes,Very High
22672,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No,Medium
26219,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,33,Yes,Medium
28468,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No,Low
23419,Single,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,No,High
17964,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Medium
20919,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No,Medium
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No,Low
13133,Single,Male,100000,5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Yes,Very High
19626,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,45,No,High
21039,Single,Female,50000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37,Yes,Medium
12231,Single,Female,10000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,51,Yes,Low
25665,Single,Female,20000,0,High School,Manual,No,1,1-2 Miles,Europe,28,No,Low
24061,Married,Male,10000,4,Partial High School,Manual,Yes,1,0-1 Miles,Europe,40,Yes,Low
26879,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No,Low
12284,Married,Female,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes,Medium
26654,Married,Female,90000,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Yes,High
14545,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No,Low
24201,Married,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,Yes,Low
